fecha_de_registro,tipo_divorcio,el_nacionalidad,el_f_nacimiento,el_loc_nacimiento,el_mpo_nacimiento,el_edo_nacimiento,el_pais_nacimiento,el_edad,el_mpo_habita,el_edo_habita,el_pais_habita,el_ingreso,el_ocupacion,el_loc_habita,ella_nacionalidad,ella_f_nacimiento,fecha_de_registro_2,ella_loc_nacimiento,ella_mpo_nacimiento,ella_edo_nacimiento,ella_pais_nacimiento,ella_edad,ella_loc_habita,ella_mpo_habita,ella_edo_habita,ella_pais_habita,ella_ocupacion,ella_ingreso,fecha,localidad,municipio,entidad_federativa,el_escolaridad,el_trabajo,ella_escolaridad,ella_trabajo,años_matrimonio,meses_matrimonio,num_hijos,custodia
2011-02-01,Necesario,MEXICANA,04/06/1969,VERACRUZ,VERACRUZ,VERACRUZ,MEXICO,41,XALAPA,VERACRUZ,MEXICO,5000,COMERCIANTE,XALAPA-ENRIQUEZ,MEXICANA,16/02/1970,NA,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,40,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,EMPLEADA,5000,2000-02-02,XALAPA,XALAPA,VERACRUZ,PREPARATORIA,ESTABLECIMIENTO,PROFESIONAL,EMPLEADO,2,NA,2,MADRE
2011-02-01,Voluntario,MEXICANA,13/11/1979,XALAPA - ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,31,XALAPA,VERACRUZ,MEXICO,12000,NA,XALAPA-ENRIQUEZ,MEXICANA,13/05/1981,1981-06-11,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,29,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,NA,12000,2006-05-13,XALAPA,XALAPA,VERACRUZ,SECUNDARIA,EMPLEADO,SECUNDARIA,EMPLEADO,2,NA,NA,NA
2011-02-01,Voluntario,MEXICANA,20/09/1982,XALAPA - ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,28,XALAPA,VERACRUZ,MEXICO,6000,NA,XALAPA-ENRIQUEZ,MEXICANA,30/01/1988,1988-03-09,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,22,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,NA,10000,2007-06-08,XALAPA,XALAPA,VERACRUZ,PROFESIONAL,EMPLEADO,PROFESIONAL,EMPLEADO,3,NA,NA,NA
2011-02-01,Necesario,MEXICANA,31/01/1973,XALAPA - ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,38,XALAPA,VERACRUZ,MEXICO,25000,NA,XALAPA-ENRIQUEZ,MEXICANA,05/11/1970,NA,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,40,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,NA,NA,1998-10-10,XALAPA,XALAPA,VERACRUZ,PROFESIONAL,EMPLEADO,PROFESIONAL,NO TRABAJA,12,3,2,MADRE
2012-02-01,Necesario,MEXICANA,09/04/1948,XALAPA - ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,63,XALAPA,VERACRUZ,MEXICO,NA,COMERCIANTE,XALAPA-ENRIQUEZ,MEXICANA,30/01/1956,NA,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,56,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,AMA DE CASA,NA,1974-01-05,XALAPA,XALAPA,VERACRUZ,NA,NA,NA,NA,37,NA,2,NA
2012-02-01,Necesario,MEXICANA,09/07/1973,DISTRITO FEDERAL,DISTRITO FEDERAL,DISTRITO FEDERAL,MEXICO,38,XALAPA,VERACRUZ,MEXICO,20000,LICENCIADO,XALAPA-ENRIQUEZ,MEXICANA,20/05/1974,NA,DISTRITO FEDERAL,DISTRITO FEDERAL,DISTRITO FEDERAL,MEXICO,37,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,LICENCIADA,15,2000-08-03,XALAPA,XALAPA,VERACRUZ,PROFESIONAL,EMPLEADO,PROFESIONAL,EMPLEADO,11,NA,NA,NA
2000-03-01,Voluntario,MEXICANA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,MEXICANA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,1994-03-22,XALAPA,XALAPA,VERACRUZ,SECUNDARIA,EMPLEADO,SECUNDARIA,EMPLEADO,NA,NA,NA,NA
2005-03-01,Voluntario,MEXICANA,23/03/1984,XALAPA - ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,20,XALAPA,VERACRUZ,MEXICO,NA,ESTUDIANTE,XALAPA-ENRIQUEZ,MEXICANA,10/10/1981,1981-11-14,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,23,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,ESTUDIANTE,NA,2004-02-04,XALAPA,XALAPA,VERACRUZ,PROFESIONAL,NO TRABAJA,PROFESIONAL,NO TRABAJA,1,NA,NA,NA
2005-03-01,Necesario,MEXICANA,09/07/1970,URSULO GALVAN,URSULO GALVAN,VERACRUZ,MEXICO,34,NA,NA,NA,5600,CHOFER,NA,MEXICANA,25/05/1969,NA,CHAVARRILLO,EMILIANO ZAPATA,VERACRUZ,MEXICO,35,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,EMPLEADA,4500,1991-09-10,XALAPA,XALAPA,VERACRUZ,SECUNDARIA,EMPLEADO,SECUNDARIA,EMPLEADO,10,NA,2,MADRE
2005-03-01,Necesario,MEXICANA,07/02/1974,XALAPA - ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,31,XALAPA,VERACRUZ,MEXICO,3500,EMPLEADO,XALAPA-ENRIQUEZ,MEXICANA,19/03/1967,NA,XALAPAEL ESPINAL,"NAOLINCO",VERACRUZ,MEXICO,37,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,EMPLEADO,4000,1993-02-01,XALAPA,XALAPA,VERACRUZ,PREPARATORIA,EMPLEADO,PREPARATORIA,EMPLEADO,10,NA,2,MADRE
2005-03-01,Necesario,MEXICANA,03/10/1971,XALAPA - ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,33,ACTOPAN,VERACRUZ,MEXICO,NA,NA,ACTOPAN,MEXICANA,30/03/1972,NA,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,32,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,NA,NA,1993-06-28,XALAPA,XALAPA,VERACRUZ,SECUNDARIA,JORNALERO O PEON,NA,TRABAJADOR POR CUENTA PROPIA EN VIA PUBLICA,11,8,1,MADRE
2005-03-01,Necesario,MEXICANA,17/08/1948,EL ESPINAL,ESPINAL,VERACRUZ,MEXICO,56,XALAPA,VERACRUZ,MEXICO,NA,COMERCIANTE,XALAPA-ENRIQUEZ,MEXICANA,29/10/1957,NA,PLAN DE ARROYOS,ATZALAN,VERACRUZ,MEXICO,47,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,LABORES DOMESTICAS,NA,1976-07-03,XALAPA,XALAPA,VERACRUZ,PROFESIONAL,EMPLEADO,PROFESIONAL,EMPLEADO,NA,NA,NA,NA
2006-03-01,Necesario,MEXICANA,03/04/1964,AGUA DULCE,AGUA DULCE,VERACRUZ,MEXICO,41,XALAPA,VERACRUZ,MEXICO,12000,COMERCIANTE,XALAPA-ENRIQUEZ,MEXICANA,20/08/1976,NA,COATZACOALCOS,COATZACOALCOS,VERACRUZ,MEXICO,29,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,EMPLEADA,7000,1998-11-12,XALAPA,XALAPA,VERACRUZ,PROFESIONAL,PATRON O EMPRESARIO,PROFESIONAL,EMPLEADO,7,NA,1,MADRE
2006-03-01,Necesario,MEXICANA,NA,JILOTEPEC,JILOTEPEC,VERACRUZ,MEXICO,NA,NA,NA,NA,NA,DESEMPLEADO,NA,MEXICANA,22/11/1924,NA,LAS VIGAS,LAS VIGAS,VERACRUZ,MEXICO,81,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,LABORES DOMESTICAS,NA,1968-05-09,XALAPA,XALAPA,VERACRUZ,PRIMARIA,NO TRABAJA,PRIMARIA,NO TRABAJA,28,NA,9,NA
2007-03-01,Necesario,MEXICANA,03/03/1969,XALAPA - ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,37,XALAPA,VERACRUZ,MEXICO,12000,ING. CIVIL,XALAPA-ENRIQUEZ,MEXICANA,07/06/1966,NA,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,40,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,EMPLEADA,2500,1996-04-30,XALAPA,XALAPA,VERACRUZ,PROFESIONAL,EMPLEADO,PREPARATORIA,EMPLEADO,11,NA,1,MADRE
2007-03-01,Necesario,MEXICANA,26/09/1961,XALAPA - ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,45,XALAPA,VERACRUZ,MEXICO,6000,EMPLEADO,XALAPA-ENRIQUEZ,MEXICANA,17/05/1962,NA,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,44,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,EMPLEADA,4000,1987-03-19,XALAPA,XALAPA,VERACRUZ,PROFESIONAL,EMPLEADO,PROFESIONAL,EMPLEADO,19,NA,3,MADRE
2010-03-01,Voluntario,MEXICANA,05/04/1987,XALAPA - ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,22,XALAPA,VERACRUZ,MEXICO,2000,EMPLEADO,XALAPA-ENRIQUEZ,MEXICANA,21/09/1986,1987-10-15,GALLO DE ORO,CHICONQUIACO,VERACRUZ,MEXICO,23,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,EMPLEADA,2000,2005-12-07,XALAPA,XALAPA,VERACRUZ,PREPARATORIA,EMPLEADO,PREPARATORIA,EMPLEADO,4,NA,NA,NA
2010-03-01,Necesario,MEXICANA,31/05/1968,VERACRUZ,VERACRUZ,VERACRUZ,MEXICO,41,XALAPA,VERACRUZ,MEXICO,5000,EMPLEADO,XALAPA-ENRIQUEZ,MEXICANA,16/08/1976,NA,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,33,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,EMPLEADA,3800,2002-03-22,XALAPA,XALAPA,VERACRUZ,PROFESIONAL,EMPLEADO,PROFESIONAL,EMPLEADO,3,NA,1,MADRE
2011-03-01,Necesario,MEXICANA,09/03/1984,XALAPA - ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,26,XALAPA,VERACRUZ,MEXICO,NA,ESTUDIANTE,XALAPA-ENRIQUEZ,MEXICANA,26/03/1988,NA,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,22,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,EMPLEADA,4000,2007-10-24,XALAPA,XALAPA,VERACRUZ,NA,NA,NA,EMPLEADO,3,1,1,NA
2012-03-01,Necesario,MEXICANA,30/05/1980,XALAPA - ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,31,NA,NA,NA,NA,NA,NA,MEXICANA,07/09/1979,NA,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,32,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,NA,NA,1999-01-22,XALAPA,XALAPA,VERACRUZ,NA,NA,NA,NA,12,NA,1,MADRE
2013-03-01,Voluntario,MEXICANA,25/09/1981,XALAPA - ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,31,XALAPA,VERACRUZ,MEXICO,1700,EMPLEADO,XALAPA-ENRIQUEZ,MEXICANA,06/06/1979,1979-07-12,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,33,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,EMPLEADA,5000,2008-02-08,XALAPA,XALAPA,VERACRUZ,PREPARATORIA,EMPLEADO,PREPARATORIA,EMPLEADO,3,8,NA,NA
2013-03-01,Necesario,MEXICANA,30/08/1986,SAN ANTONIO HIDALGO,TLALNELHUAYOCAN,VERACRUZ,MEXICO,26,XALAPA,VERACRUZ,MEXICO,3000,EMPLEADO,XALAPA-ENRIQUEZ,MEXICANA,15/02/1983,NA,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,30,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,EMPLEADA,NA,2004-12-13,XALAPA,XALAPA,VERACRUZ,SECUNDARIA,EMPLEADO,SECUNDARIA,NO TRABAJA,6,NA,2,MADRE
2002-04-01,Voluntario,MEXICANA,08/08/1981,XALAPA - ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,20,XALAPA,VERACRUZ,MEXICO,NA,EMPLEADO,XALAPA-ENRIQUEZ,MEXICANA,02/03/1984,1984-04-09,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,18,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,ESTUDIANTE,NA,2001-02-13,XALAPA,XALAPA,VERACRUZ,PREPARATORIA,NO TRABAJA,NA,NA,1,1,NA,NA
2002-04-01,Voluntario,MEXICANA,09/05/1968,XALAPA - ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,33,XALAPA,VERACRUZ,MEXICO,2000,COMERCIANTE,XALAPA-ENRIQUEZ,MEXICANA,07/06/1967,1967-07-19,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,34,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,EMPLEADA,3400,1989-05-26,XALAPA,XALAPA,VERACRUZ,PRIMARIA,TRABAJADOR POR SU PROPIA CUENTA O EN VIA PUBLICA,PREPARATORIA,EMPLEADO,12,10,2,MADRE
2003-04-01,Voluntario,MEXICANA,17/12/1977,CARDEL,LA ANTIGUA,VERACRUZ,MEXICO,25,XALAPA,VERACRUZ,MEXICO,2000,EMPLEADO,XALAPA-ENRIQUEZ,MEXICANA,07/08/1975,1977-08-06,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,27,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,EMPLEADA,1600,1996-04-15,XALAPA,XALAPA,VERACRUZ,PRIMARIA,EMPLEADO,SECUNDARIA,EMPLEADO,6,11,NA,NA
2003-04-01,Voluntario,MEXICANA,26/12/1975,ECATEPEC,ECATEPEC,MEXICO,MEXICO,27,XALAPA,VERACRUZ,MEXICO,3000,COMERCIANTE,XALAPA-ENRIQUEZ,MEXICANA,27/01/1984,1984-02-18,VERACRUZ,VERACRUZ,VERACRUZ,MEXICO,19,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,ESTUDIANTE,NA,1999-11-03,COATEPEC,COATEPEC,VERACRUZ,PREPARATORIA,ESTABLECIMIENTO,PREPARATORIA,NO TRABAJA,3,4,1,MADRE
2005-04-01,Necesario,MEXICANA,02/05/1983,XALAPA - ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,21,NA,NA,NA,NA,ESTUDIANTE,NA,MEXICANA,12/06/1982,NA,DISTRITO FEDERAL,DISTRITO FEDERAL,DISTRITO FEDERAL,MEXICO,22,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,ESTUDIANTE,NA,2003-10-23,XALAPA,XALAPA,VERACRUZ,PREPARATORIA,NO TRABAJA,PREPARATORIA,NO TRABAJA,1,NA,NA,NA
2008-04-01,Necesario,MEXICANA,11/04/1964,DISTRITO FEDERAL,DISTRITO FEDERAL,DISTRITO FEDERAL,MEXICO,43,XALAPA,VERACRUZ,MEXICO,14000,EMPLEADO,XALAPA-ENRIQUEZ,MEXICANA,17/11/1970,NA,PEROTE,PEROTE,VERACRUZ,MEXICO,37,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,EMPLEADA,4200,2001-05-30,XALAPA,XALAPA,VERACRUZ,PROFESIONAL,EMPLEADO,PROFESIONAL,EMPLEADO,5,NA,1,MADRE
2009-04-01,Voluntario,MEXICANA,25/02/1966,XALAPA - ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,43,XALAPA,VERACRUZ,MEXICO,5000,EMPLEADO,XALAPA-ENRIQUEZ,MEXICANA,14/01/1965,1965-02-25,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,44,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,LABORES DOMESTICAS,6500,1985-04-12,XALAPA,XALAPA,VERACRUZ,SECUNDARIA,EMPLEADO,PROFESIONAL,EMPLEADO,23,NA,1,NA
2009-04-01,Necesario,MEXICANA,15/10/1955,MATIAS ROMERO,MATIAS ROMERO,OAXACA,MEXICO,53,XALAPA,VERACRUZ,MEXICO,10000,EMPLEADO,XALAPA-ENRIQUEZ,MEXICANA,26/11/1963,NA,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,45,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,EMPLEADA,7000,1986-01-27,XALAPA,XALAPA,VERACRUZ,PROFESIONAL,EMPLEADO,PROFESIONAL,EMPLEADO,22,NA,2,MADRE
2009-04-01,Necesario,MEXICANA,19/04/1955,DISTRITO FEDERAL,DISTRITO FEDERAL,DISTRITO FEDERAL,MEXICO,53,XALAPA,VERACRUZ,MEXICO,15000,PILOTO AVIADOR,XALAPA-ENRIQUEZ,MEXICANA,26/06/1964,NA,ORIZABA,ORIZABA,VERACRUZ,MEXICO,44,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,PEDAGOGA,5000,2001-04-21,XALAPA,XALAPA,VERACRUZ,PROFESIONAL,EMPLEADO,PROFESIONAL,EMPLEADO,7,NA,NA,NA
2009-04-01,Necesario,MEXICANA,01/01/1979,MARTINEZ DE LA TORRE,MARTINEZ DE LA TORRE,VERACRUZ,MEXICO,30,CUERNAVACA,MORELOS,MEXICO,5000,EMPLEADO,CUERNAVACA,MEXICANA,13/03/1977,NA,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,32,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,LABORES DOMESTICAS,NA,2000-10-13,XALAPA,XALAPA,VERACRUZ,PROFESIONAL,EMPLEADO,PROFESIONAL,NO TRABAJA,6,NA,1,MADRE
2000-06-01,Voluntario,MEXICANA,15/07/1967,XALAPA - ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,32,XALAPA,VERACRUZ,MEXICO,NA,CHOFER,XALAPA-ENRIQUEZ,MEXICANA,23/08/1964,1977-10-14,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,35,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,EMPLEADA,1500,1989-08-19,XALAPA,XALAPA,VERACRUZ,SECUNDARIA,EMPLEADO,OTRO,EMPLEADO,10,NA,1,MADRE
2000-06-01,Necesario,MEXICANA,18/06/1967,SALTABARRANCA,SALTABARRANCA,VERACRUZ,MEXICO,32,XALAPA,VERACRUZ,MEXICO,NA,ING. AGRONOMO,XALAPA-ENRIQUEZ,MEXICANA,18/11/1966,NA,EL JARDIN,ALAMO TEMAPACHE,VERACRUZ,MEXICO,33,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,QUIMICA,NA,1997-07-26,ALAMO TEMAPACHE,ALAMO TEMAPACHE,VERACRUZ,PROFESIONAL,EMPLEADO,PROFESIONAL,NO TRABAJA,2,5,NA,NA
2001-06-01,Voluntario,MEXICANA,16/09/1966,DISTRITO FEDERAL,DISTRITO FEDERAL,DISTRITO FEDERAL,MEXICO,34,DISTRITO FEDERAL,DISTRITO FEDERAL,MEXICO,12000,COMERCIANTE,DISTRITO FEDERAL,MEXICANA,16/09/1966,1966-12-05,PLAN DE LAS HAYAS,PLAN DE LAS HAYAS,VERACRUZ,MEXICO,34,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,CONTADORA,8000,1996-01-27,XALAPA,XALAPA,VERACRUZ,PROFESIONAL,TRABAJA EN SU VIVIENDA,PROFESIONAL,EMPLEADO,5,4,NA,NA
2004-06-01,Necesario,MEXICANA,01/05/1948,XALAPA - ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,56,NA,NA,NA,NA,COMERCIANTE,NA,MEXICANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,640,1972-02-04,XALAPA,XALAPA,VERACRUZ,PRIMARIA,EMPLEADO,PRIMARIA,EMPLEADO,NA,NA,NA,NA
2004-06-01,Voluntario,MEXICANA,21/03/1966,COATZACOALCOS,COATZACOALCOS,VERACRUZ,MEXICO,38,COATZACOALCOS,VERACRUZ,MEXICO,1500,EMPLEADO,COATZACOALCOS,MEXICANA,10/06/1976,1979-10-13,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,27,XALAPA-ENRIQUEZ,XALAPA,VERACRUZ,MEXICO,EMPLEADA,3000,2000-10-14,XALAPA,XALAPA,VERACRUZ,PROFESIONAL,EMPLEADO,PROFESIONAL,EMPLEADO,3,1,NA,NA
